country,first_treat_year,policy_type,analysis_included,source_scope,methadone_year,methadone_status,high_dose_buprenorphine_year,high_dose_buprenorphine_status,buprenorphine_naloxone_year,buprenorphine_naloxone_status,slow_release_oral_morphine_year,slow_release_oral_morphine_status,source_id,source_url,source_locator,coding_note,verification_status
Dominican Republic,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Ecuador,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Estonia,2001,standard_oat_official_availability,1,harmonised_euda_table_a1,2001,officially_available,2003,legally_available_no_reported_clients,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Finland,1974,standard_oat_official_availability,1,harmonised_euda_table_a1,1974,officially_available,1997,officially_available,2004,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
France,1995,standard_oat_official_availability,1,harmonised_euda_table_a1,1995,officially_available,1996,officially_available,2012,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Germany,1992,standard_oat_official_availability,1,harmonised_euda_table_a1,1992,officially_available,2000,officially_available,2007,officially_available,2015,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Greece,1993,standard_oat_official_availability,1,harmonised_euda_table_a1,1993,officially_available,2002,officially_available,2006,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Guatemala,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Hungary,1995,standard_oat_official_availability,1,harmonised_euda_table_a1,1995,officially_available,,not_applicable,2007,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Iceland,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Ireland,1992,standard_oat_official_availability,1,harmonised_euda_table_a1,1992,officially_available,2002,legally_available_no_reported_clients,2006,legally_available_no_reported_clients,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Israel,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Italy,1975,standard_oat_official_availability,1,harmonised_euda_table_a1,1975,officially_available,1999,officially_available,2007,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Japan,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Latvia,1996,standard_oat_official_availability,1,harmonised_euda_table_a1,1996,officially_available,2005,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Lithuania,1995,standard_oat_official_availability,1,harmonised_euda_table_a1,1995,officially_available,2002,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Luxembourg,1989,standard_oat_official_availability,1,harmonised_euda_table_a1,1989,officially_available,2002,officially_available,,not_applicable,2006,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Malta,1987,standard_oat_official_availability,1,harmonised_euda_table_a1,1987,officially_available,2006,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Mexico,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Monaco,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Montenegro,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Netherlands,1968,standard_oat_official_availability,1,harmonised_euda_table_a1,1968,officially_available,1999,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
New Zealand,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
North Macedonia,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Norway,1998,standard_oat_official_availability,1,authoritative_country_specific_extension,1998,officially_available,2001,officially_available,,not_applicable,,not_applicable,NOR_FHI_2004,https://www.fhi.no/globalassets/dokumenterfiler/rapporter/2009-og-eldre/drugsituation_in_norway_2004.pdf,"Section 12.2, substitution treatment history",National medication-assisted rehabilitation officially started in 1998.,verified_authoritative_country_report
Panama,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Peru,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Poland,1992,standard_oat_official_availability,1,harmonised_euda_table_a1,1992,officially_available,2014,officially_available,2008,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Portugal,1977,standard_oat_official_availability,1,harmonised_euda_table_a1,1977,officially_available,1999,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Republic of Moldova,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Romania,1998,standard_oat_official_availability,1,harmonised_euda_table_a1,1998,officially_available,2007,legally_available_no_reported_clients,2008,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Russian Federation,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
San Marino,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Serbia,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Slovakia,1997,standard_oat_official_availability,1,harmonised_euda_table_a1,1997,officially_available,1999,legally_available_no_reported_clients,2008,officially_available,2005,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Slovenia,1990,standard_oat_official_availability,1,harmonised_euda_table_a1,1990,officially_available,2005,officially_available,2007,officially_available,2005,officially_available,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
South Korea,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Spain,1990,standard_oat_official_availability,1,harmonised_euda_table_a1,1990,officially_available,1996,legally_available_no_reported_clients,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Sweden,1967,standard_oat_official_availability,1,harmonised_euda_table_a1,1967,officially_available,1999,officially_available,,not_applicable,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
Switzerland,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Turkey,2010,standard_oat_official_availability,1,authoritative_country_specific_extension,,not_applicable,,not_applicable,2010,officially_available,,not_applicable,TUR_EUDA_2017,https://www.euda.europa.eu/system/files/publications/4502/TD0116924ENN.pdf,"Country Drug Report 2017, Treatment provision, p. 11",Buprenorphine/naloxone was approved in 2009 and became available in 2010; availability year is coded.,verified_authoritative_country_report
Ukraine,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
United Kingdom,1968,standard_oat_official_availability,1,harmonised_euda_table_a1,1968,officially_available,1999,officially_available,2006,officially_available,,not_applicable,EUDA_2021_TA1,https://www.euda.europa.eu/system/files/media/publications/documents/13547/TD0121046ENN.pdf,"Appendix Table A1, pp. 46-47 (PDF pages 45-46)",Earliest official availability among four standard OAT medication classes; diacetylmorphine pilots excluded.,verified_authoritative_cross_national_table
United States of America,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
Uruguay,,standard_oat_official_availability,0,outside_harmonised_euda_reporting_scope,,not_coded,,not_coded,,not_coded,,not_coded,,,,Excluded from the event-study because no single harmonised source supplies a comparable national introduction year.,scope_excluded_not_assumed_never_treated
